Date,Open,High,Low,Close,Volume
20230207 15:00:00 America/New_York,219.22,222.59,217.91,221.72,8953067
20230208 09:30:00 America/New_York,223.77,228.78,223.73,226.24,8546227
20230208 10:00:00 America/New_York,226.15,226.98,221.72,222.09,8898989
20230208 11:00:00 America/New_York,222.05,223.86,221.2,223.62,6863972
20230208 12:00:00 America/New_York,223.56,225.67,222.37,225.02,4998400
20230208 13:00:00 America/New_York,224.99,225.6,223.57,223.9,3279051
20230208 14:00:00 America/New_York,223.9,224.24,221.52,222.23,3328466
20230208 15:00:00 America/New_York,222.22,223.25,220.08,222.06,6089692
20230209 09:30:00 America/New_York,226.06,229.15,226.05,227.15,6418947
20230209 10:00:00 America/New_York,227.22,229.98,226.74,229.95,7114944
20230209 11:00:00 America/New_York,229.96,230.2,227.95,229.27,7012541
20230209 12:00:00 America/New_York,229.23,229.77,224.92,226.3,5178400
20230209 13:00:00 America/New_York,226.25,227.23,225.38,226.42,4147903
20230209 14:00:00 America/New_York,226.41,226.95,223.33,224.36,4370784
20230209 15:00:00 America/New_York,224.4,224.62,221.2,223.41,6198366
20230210 09:30:00 America/New_York,216.87,220.78,215.19,216.37,7076299
20230210 10:00:00 America/New_York,216.5,217.31,212.79,213.29,8178926
20230210 11:00:00 America/New_York,213.28,214.09,210.08,210.2,5992605
20230210 12:00:00 America/New_York,210.19,211.35,208.11,211.31,6024554
20230210 13:00:00 America/New_York,211.33,213.63,210.27,210.37,5739340
20230210 14:00:00 America/New_York,210.37,211.5,209.57,211.36,4076819
20230210 15:00:00 America/New_York,211.36,213.82,211.02,212.6,5575347
20230213 09:30:00 America/New_York,215.34,216.25,209.62,216.13,6251792
20230213 10:00:00 America/New_York,216.12,217.4,212.89,216.38,6908538
20230213 11:00:00 America/New_York,216.39,219.8,216.3,219.06,6192394
20230213 12:00:00 America/New_York,219.03,219.7,218.27,218.86,3838149
20230213 13:00:00 America/New_York,218.84,220.48,218.34,218.97,3963431
20230213 14:00:00 America/New_York,218.97,219.26,216.64,218.12,4264097
20230213 15:00:00 America/New_York,218.11,218.75,216.36,217.91,5169136
20230214 09:30:00 America/New_York,215.71,226.8,213.66,225.8,10471599
20230214 10:00:00 America/New_York,225.78,228.21,221.66,223.78,11820807
20230214 11:00:00 America/New_York,223.75,226.71,222.83,224.66,7299923
20230214 12:00:00 America/New_York,224.67,226.73,224.39,226.27,4702358
20230214 13:00:00 America/New_York,226.32,229.0,226.19,228.39,5614979
20230214 14:00:00 America/New_York,228.39,229.93,227.03,229.11,5069621
20230214 15:00:00 America/New_York,229.17,230.49,227.9,229.6,6866246
20230215 09:30:00 America/New_York,225.48,228.55,222.25,222.97,7557289
20230215 10:00:00 America/New_York,222.95,224.89,221.06,222.56,7133132
20230215 11:00:00 America/New_York,222.56,226.72,222.43,225.62,4925994
20230215 12:00:00 America/New_York,225.66,226.23,224.63,225.9,2676614
20230215 13:00:00 America/New_York,226.0,226.67,224.96,226.45,2345915
20230215 14:00:00 America/New_York,226.44,227.91,226.3,226.49,2986519
20230215 15:00:00 America/New_York,226.5,227.75,225.54,227.64,4289983
20230216 09:30:00 America/New_York,221.3,223.68,220.22,222.18,5857342
20230216 10:00:00 America/New_York,222.19,224.23,219.83,222.82,6240506
20230216 11:00:00 America/New_York,222.86,223.91,221.66,223.18,3526844
20230216 12:00:00 America/New_York,223.12,225.14,222.11,224.05,3424734
20230216 13:00:00 America/New_York,224.05,225.4,223.43,225.15,2732746
20230216 14:00:00 America/New_York,225.14,225.5,223.8,224.24,2183885
20230216 15:00:00 America/New_York,224.24,224.34,219.26,219.96,6111536
20230217 09:30:00 America/New_York,216.31,217.4,213.64,215.21,7123685
20230217 10:00:00 America/New_York,215.2,216.33,211.64,211.64,7266363
20230217 11:00:00 America/New_York,211.62,212.91,210.71,211.72,4566970
20230217 12:00:00 America/New_York,211.72,213.15,209.75,210.81,4528854
20230217 13:00:00 America/New_York,210.79,212.05,210.44,211.89,3184355
20230217 14:00:00 America/New_York,211.91,215.07,211.88,214.93,4259118
20230217 15:00:00 America/New_York,214.95,215.25,213.34,213.88,4994140
20230221 09:30:00 America/New_York,210.04,214.94,209.41,211.86,5444275
20230221 10:00:00 America/New_York,211.86,212.33,209.41,210.73,6144236
20230221 11:00:00 America/New_York,210.71,211.28,208.79,208.91,4134751
20230221 12:00:00 America/New_York,208.91,210.58,208.46,210.41,3004337
20230221 13:00:00 America/New_York,210.41,210.59,208.7,208.93,1970012
20230221 14:00:00 America/New_York,208.94,209.24,207.27,207.5,2957315
20230221 15:00:00 America/New_York,207.51,208.35,206.18,206.57,5151673
20230222 09:30:00 America/New_York,207.22,211.04,205.79,208.25,5793886
20230222 10:00:00 America/New_York,208.17,208.27,204.21,206.18,6079271
20230222 11:00:00 America/New_York,206.19,208.29,205.95,207.67,4037182
20230222 12:00:00 America/New_York,207.73,209.4,207.08,209.16,3038346
20230222 13:00:00 America/New_York,209.18,209.92,208.11,208.82,2976229
20230222 14:00:00 America/New_York,208.82,210.35,206.51,206.66,4770322
20230222 15:00:00 America/New_York,206.61,208.02,206.2,207.65,5423636
20230223 09:30:00 America/New_York,234.4,238.25,230.25,237.15,20877546
